n,id,sol,#forf.,time(s)
500,1,2181,92,5.80
500,2,1907,111,5.80
500,3,1957,122,6.54
500,4,1965,96,5.96
500,5,1835,138,5.94
500,6,1955,137,5.78
500,7,1919,127,6.23
500,8,2165,104,6.61
500,9,2044,99,5.72
500,10,1918,104,6.37
700,1,2869,138,17.64
700,2,2734,128,16.74
700,3,2659,171,16.31
700,4,2773,170,17.20
700,5,2845,133,16.37
700,6,2961,141,17.14
700,7,2742,125,16.69
700,8,2931,161,15.75
700,9,2885,134,17.79
700,10,2804,186,16.67
800,1,3310,179,23.87
800,2,3002,182,25.47
800,3,3101,196,25.52
800,4,3079,197,23.69
800,5,3176,167,21.26
800,6,3408,164,24.05
800,7,3408,174,24.87
800,8,3028,152,24.08
800,9,3015,199,22.66
800,10,3345,171,26.91
1000,1,3987,208,50.02
1000,2,4107,200,46.69
1000,3,3870,225,48.85
1000,4,4179,195,51.59
1000,5,4130,181,49.80
1000,6,3942,218,46.24
1000,7,4273,191,49.24
1000,8,3867,218,50.14
1000,9,3993,216,49.76
1000,10,3980,212,44.44
