n,id,sol,#forf.,time(s)
500,1,2680,42,62.42
500,2,2562,58,569.58
500,3,2521,52,402.77
500,4,2481,50,TL
500,5,2459,56,2413.37
500,6,2621,47,55.3
500,7,2546,57,1385.53
500,8,2583,49,2719.91
500,9,2498,60,2258.07
500,10,2473,48,1607.67
700,1,3502,88,TL
700,2,3512,84,TL
700,3,3506,84,TL
700,4,3596,72,TL
700,5,3546,55,TL
700,6,3660,73,TL
700,7,3545,52,TL
700,8,3618,57,TL
700,9,3640,56,TL
700,10,3610,73,TL
800,1,4184,91,TL
800,2,4019,83,TL
800,3,4096,78,TL
800,4,3987,92,TL
800,5,4003,65,TL
800,6,4120,84,TL
800,7,4227,71,TL
800,8,4005,63,TL
800,9,4023,81,TL
800,10,4164,85,TL
1000,1,5102,91,TL
1000,2,5087,103,TL
1000,3,5034,102,TL
1000,4,5116,98,TL
1000,5,5195,100,TL
1000,6,5021,97,TL
1000,7,5184,94,TL
1000,8,5079,103,TL
1000,9,5071,102,TL
1000,10,5175,108,TL
