n,id,sol,#forf.,time(s)
500,1,2033,132,2.35
500,2,1775,146,2.43
500,3,1752,158,2.38
500,4,1738,154,2.37
500,5,1494,189,2.50
500,6,1757,174,2.47
500,7,1760,157,2.41
500,8,1944,138,2.42
500,9,1832,152,2.35
500,10,1673,134,2.30
700,1,2543,175,6.37
700,2,2578,165,6.17
700,3,2421,215,6.35
700,4,2459,225,6.43
700,5,2553,186,6.33
700,6,2525,220,6.29
700,7,2408,185,6.35
700,8,2697,207,6.37
700,9,2633,188,6.64
700,10,2491,241,6.48
800,1,3016,238,9.79
800,2,2808,232,9.29
800,3,2747,267,9.69
800,4,2703,262,9.90
800,5,2821,232,9.32
800,6,3040,229,9.76
800,7,3026,212,10.17
800,8,2714,223,9.33
800,9,2916,230,9.91
800,10,3045,220,10.26
1000,1,3728,265,18.73
1000,2,3663,264,17.98
1000,3,3559,288,18.49
1000,4,3623,275,18.51
1000,5,3938,259,18.41
1000,6,3580,270,18.53
1000,7,3706,287,18.53
1000,8,3655,274,18.17
1000,9,3737,270,18.04
1000,10,3505,320,18.47
